"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.2815533980582523","0.0","0.3047337278106509","1.0","3","7","false","1.05569108107446","SLC6A12","17.0","0","3","0","0.9264015032884434","true","0","SLC6A12","0","0.7391304347826086"
"3.7184466019417477","0.0","0.2689295039164491","0.0","1","7","false","-1.0399277424119","OLFM3","11.0","0","1","0","0.9123081741309114","true","0","OLFM3","0","0.0"
"3.6407766990291264","0.0","0.27466666666666667","1.0","3","7","false","1.31270778121984","GABRR2","8.0","0","3","0","0.9148136548700282","true","0","GABRR2","0","0.6666666666666666"
"3.3689320388349513","8.954646998892084E-4","0.2968299711815562","0.8","5","7","false","-1.33486081769225","GABRA6","11.0","0","5","0","0.923582837456937","true","0","GABRA6","80","0.4782608695652174"
"3.8446601941747574","0.0","0.2601010101010101","0.0","1","7","false","1.04281222599903","FOXD3","7.0","0","1","0","0.9082367679298465","true","0","FOXD3","0","0.0"
"3.8932038834951457","0.0","0.256857855361596","0.0","1","7","false","1.405441826443","FOXA3","5.0","0","1","0","0.9066708424678985","true","0","FOXA3","0","0.0"
"3.233009708737864","0.0","0.30930930930930933","1.0","2","6","false","1.23194343762653","P2RY8","12.5","0","2","0","0.9279674287503915","true","0","P2RY8","0","0.6578947368421053"
"3.504854368932039","6.662859318484675E-4","0.2853185595567867","0.6666666666666666","3","6","false","1.1109029097382","FCRL2","5.666666666666667","0","3","0","0.9191982461634826","true","0","FCRL2","20","0.4358974358974359"
"3.504854368932039","6.662859318484675E-4","0.2853185595567867","0.6666666666666666","3","6","false","1.1644464887281","FCRL1","5.666666666666667","0","3","0","0.9191982461634826","true","0","FCRL1","20","0.4358974358974359"
"1.0","0.0","1.0","0.0","1","1","false","-1.0383862063529","SPATA31A1","1.0","0","1","0","1.0","true","0","SPATA31A1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","-1.11432215668341","FAM47C","1.0","0","1","0","1.0","true","0","FAM47C","0","0.0"
"2.854368932038835","0.02162899557976536","0.35034013605442177","0.47619047619047616","7","6","false","-1.15424184380734","NPSR1","9.714285714285714","0","7","0","0.940181647353586","true","0","NPSR1","1098","0.3087557603686636"
"3.174757281553398","0.0","0.3149847094801223","1.0","4","6","false","1.04186549702161","F2RL3","9.75","0","4","0","0.9298465393047292","true","0","F2RL3","0","0.4642857142857143"
"3.1844660194174756","2.246291895999804E-4","0.31402439024390244","0.8333333333333334","4","6","false","1.14195052954951","DEFA1","9.5","0","4","0","0.9295333542123395","true","0","DEFA1","22","0.4523809523809524"
"2.8640776699029127","0.0014217404068474736","0.34915254237288135","0.6","5","6","false","1.14585310321342","DEFA1B","12.4","0","5","0","0.9398684622611964","true","0","DEFA1B","122","0.37575757575757573"
"2.912621359223301","3.7121644774414623E-4","0.3433333333333333","0.3333333333333333","3","6","false","1.19715108746707","ETV4","13.0","0","3","0","0.9383025367992484","true","0","ETV4","18","0.4222222222222222"
"2.7184466019417477","0.030859294227585224","0.3678571428571428","0.28888888888888886","10","6","false","1.05309152798085","PROK2","11.2","0","10","0","0.9445662386470405","true","0","PROK2","1934","0.24888888888888888"
"2.8640776699029127","0.0","0.34915254237288135","1.0","2","6","false","1.148216216785","S100A4","28.0","0","2","0","0.9398684622611964","true","0","S100A4","0","0.7567567567567568"
