"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-380108","Chemokine receptors bind chemokines","4/5","59/11287",0.0677966101694915,153.04406779661,24.6493948399976,3.35376604493591e-09,1.07320513437949e-07,2.47119603311067e-08,"7852/3576/729230/2833",4
"R-HSA-375276","Peptide ligand-binding receptors","4/5","203/11287",0.0197044334975369,44.4807881773399,13.1600986793976,5.0094360480126e-07,8.01509767682015e-06,1.84558170189938e-06,"7852/3576/729230/2833",4
"R-HSA-418594","G alpha (i) signalling events","4/5","319/11287",0.0125391849529781,28.3059561128527,10.414801235962,3.06225418461229e-06,3.05042410679575e-05,7.02400287749022e-06,"7852/3576/729230/2833",4
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)","4/5","337/11287",0.0118694362017804,26.7940652818991,10.1202132272046,3.81303013349469e-06,3.05042410679575e-05,7.02400287749022e-06,"7852/3576/729230/2833",4
"R-HSA-500792","GPCR ligand binding","4/5","470/11287",0.00851063829787234,19.211914893617,8.4901058277724,1.43591373773909e-05,9.18984792153016e-05,2.11608340298392e-05,"7852/3576/729230/2833",4
"R-HSA-6783783","Interleukin-10 signaling","2/5","45/11287",0.0444444444444444,100.328888888889,14.0547142813994,0.000154252993688012,0.000822682633002733,0.000189433501020366,"3576/729230",2
"R-HSA-449147","Signaling by Interleukins","3/5","456/11287",0.00657894736842105,14.8513157894737,6.35625265263639,0.000616431422127962,0.00281797221544211,0.000648875181187329,"3576/729230/3575",3
"R-HSA-9827857","Specification of primordial germ cells","1/5","12/11287",0.0833333333333333,188.116666666667,13.6523306313125,0.00530549699083205,0.0188506212616832,0.00434060357999284,"7852",1
"R-HSA-9942503","Differentiation of naive CD4+ T cells to T helper 1 cells (Th1 cells)","1/5","12/11287",0.0833333333333333,188.116666666667,13.6523306313125,0.00530549699083205,0.0188506212616832,0.00434060357999284,"2833",1
"R-HSA-162594","Early Phase of HIV Life Cycle","1/5","14/11287",0.0714285714285714,161.242857142857,12.6294640680623,0.00618755290646389,0.0188506212616832,0.00434060357999284,"7852",1
"R-HSA-9823730","Formation of definitive endoderm","1/5","15/11287",0.0666666666666667,150.493333333333,12.1963237070622,0.00662834615009611,0.0188506212616832,0.00434060357999284,"7852",1
"R-HSA-380994","ATF4 activates genes in response to endoplasmic reticulum  stress","1/5","16/11287",0.0625,141.0875,11.8042970233971,0.00706898297313119,0.0188506212616832,0.00434060357999284,"3576",1
"R-HSA-9937080","Developmental Lineage of Multipotent Pancreatic Progenitor Cells","1/5","18/11287",0.0555555555555556,125.411111111111,11.1202540549928,0.00794978752393882,0.019568707751234,0.00450595244271836,"7852",1
"R-HSA-381042","PERK regulates gene expression","1/5","21/11287",0.0476190476190476,107.495238095238,10.2829314398482,0.00926982223629069,0.0211881651115216,0.00487885380857405,"3576",1
"R-HSA-1266695","Interleukin-7 signaling","1/5","36/11287",0.0277777777777778,62.7055555555556,7.80624059081491,0.0158489351713736,0.0338110616989304,0.00778544183856951,"3575",1
"R-HSA-1461957","Beta defensins","1/5","41/11287",0.024390243902439,55.0585365853659,7.29993765382969,0.0180341885059562,0.0360683770119123,0.00830521839090087,"729230",1
"R-HSA-1461973","Defensins","1/5","51/11287",0.0196078431372549,44.2627450980392,6.51861411891661,0.0223930498148767,0.0421516231809443,0.00970596586403323,"729230",1
